66.29.129.200 - - [09/Aug/2022:01:36:14 +0530] "GET /remote/fgt_lang?lang=/../../../..//////////dev/cmdb/sslvpn_websession HTTP/1.1" 404 685
167.71.102.95 - - [09/Aug/2022:02:11:21 +0530] "-" 400 -
185.7.214.104 - - [09/Aug/2022:02:20:24 +0530] "POST /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 404 685
185.7.214.104 - - [09/Aug/2022:02:36:55 +0530] "GET null HTTP/1.1" 400 2256
128.1.248.42 - - [09/Aug/2022:03:03:30 +0530] "GET / HTTP/1.1" 404 685
185.7.214.104 - - [09/Aug/2022:03:08:55 +0530] "POST /mifs/.;/services/LogService HTTP/1.1" 404 685
185.7.214.104 - - [09/Aug/2022:03:15:39 +0530] "GET /console/ HTTP/1.1" 404 685
185.7.214.104 - - [09/Aug/2022:03:28:16 +0530] "POST /Autodiscover/Autodiscover.xml HTTP/1.1" 404 685
185.7.214.104 - - [09/Aug/2022:03:42:53 +0530] "GET /_ignition/execute-solution HTTP/1.1" 404 685
185.7.214.104 - - [09/Aug/2022:03:52:42 +0530] "GET / HTTP/1.1" 404 685
185.7.214.104 - - [09/Aug/2022:04:03:49 +0530] "GET / HTTP/1.1" 404 685
92.118.160.1 - - [09/Aug/2022:04:27:12 +0530] "GET / HTTP/1.1" 404 685
185.7.214.104 - - [09/Aug/2022:04:33:08 +0530] "GET / HTTP/1.1" 404 685
165.227.76.114 - - [09/Aug/2022:06:03:27 +0530] "-" 400 -
165.227.76.114 - - [09/Aug/2022:06:03:28 +0530] "-" 400 -
165.227.76.114 - - [09/Aug/2022:06:03:28 +0530] "-" 400 -
165.227.76.114 - - [09/Aug/2022:06:03:29 +0530] "-" 400 -
165.227.76.114 - - [09/Aug/2022:06:03:29 +0530] "-" 400 -
165.227.76.114 - - [09/Aug/2022:06:03:29 +0530] "-" 400 -
165.227.76.114 - - [09/Aug/2022:06:03:30 +0530] "-" 400 -
165.227.76.114 - - [09/Aug/2022:06:03:30 +0530] "-" 400 -
165.227.76.114 - - [09/Aug/2022:06:03:31 +0530] "-" 400 -
165.227.76.114 - - [09/Aug/2022:06:03:31 +0530] "-" 400 -
184.105.139.67 - - [09/Aug/2022:06:31:50 +0530] "-" 400 -
184.105.139.67 - - [09/Aug/2022:06:32:01 +0530] "-" 400 -
184.105.139.67 - - [09/Aug/2022:06:32:25 +0530] "-" 400 -
112.81.101.232 - - [09/Aug/2022:07:16:46 +0530] "-" 400 -
192.241.222.85 - - [09/Aug/2022:08:46:42 +0530] "-" 400 -
192.241.221.99 - - [09/Aug/2022:08:46:57 +0530] "GET / HTTP/1.1" 404 685
192.241.237.131 - - [09/Aug/2022:09:31:00 +0530] "-" 400 -
192.241.221.235 - - [09/Aug/2022:09:45:41 +0530] "-" 400 -
128.14.209.162 - - [09/Aug/2022:09:45:49 +0530] "GET / HTTP/1.1" 404 685
46.8.29.122 - - [09/Aug/2022:10:27:11 +0530] "-" 400 -
